config,model,auroc_mean,auroc_std,auprc_mean,auprc_std,f1_mean,f1_std,precision_mean,recall_mean,accuracy_mean,brier_mean,best_thresh_mean,best_thresh_std,dataset,imputer,with_flag,avg_rank
NHANES__imp_knn_flag,deep_ann,0.7451300298062593,0.0708470375455665,0.2858771596322015,0.0646493826905358,0.3494366468954345,0.0632648362724762,0.2573707897141707,0.5539890710382513,0.746686626746507,0.1790900748511201,0.501,0.0181659021245849,NHANES,knn,1,115.13888888888889
NHANES__imp_knn_flag,deepnetx2,0.7527287630402385,0.0505061014823215,0.2860614372174084,0.0518336241747678,0.3589933305429623,0.0600604713733017,0.2604193724879888,0.637704918032787,0.7066818363273453,0.1716668099011377,0.4709999999999999,0.0736036683868406,NHANES,knn,1,114.52777777777777
NHANES__imp_knn_flag,lr,0.7536772230501738,0.0230181262246689,0.2778758118465448,0.0336095663021601,0.3462789211674523,0.0176805835309091,0.2263287950934172,0.7530601092896175,0.6575776447105788,0.2041909345737966,0.4709999999999999,0.0900971697668689,NHANES,knn,1,123.05555555555556
NHANES__imp_knn_flag,rf,0.7831344386487828,0.0269510627904068,0.3122548435514597,0.0397274494737693,0.3892662092808028,0.0403665201115348,0.2944026324929156,0.5914754098360656,0.7746586826347306,0.105165648303912,0.2739999999999999,0.065707686003998,NHANES,knn,1,123.13888888888889
NHANES__imp_knn_flag,stack_lr_oof,0.7974577744659712,0.0164098150706961,0.3342736106656644,0.0244432559667591,0.41731518883133,0.0355725077734201,0.3041786881509599,0.6732786885245902,0.7702882235528942,0.0930051009089024,0.176,0.0114017542509913,NHANES,knn,1,134.52777777777777
NHANES__imp_knn_flag,xgb,0.7762804893194237,0.0443556868352764,0.3097734007444185,0.0489769133834935,0.3641069911902343,0.0542653433958692,0.3014154704944178,0.4755191256830601,0.8030403193612774,0.1054030233067266,0.182,0.0839344982709731,NHANES,knn,1,115.47222222222223
PIMA__raw_flag,ann,0.8283738644304682,0.0256017976657879,0.6961579346133491,0.0495743137197751,0.6779160145992018,0.0265114284194795,0.6121712978097417,0.7869322152341021,0.7370172311348782,0.16652478155241,0.3879999999999999,0.0987800587163218,PIMA,raw,1,90.69444444444444
PIMA__raw_flag,ann_xgb_ens,0.8134346610761705,0.0334386394452709,0.6722703638226273,0.041327593134433,0.6588920149168305,0.036805527285759,0.5640730859406581,0.8053808525506639,0.7083015024191495,0.1731781157958787,0.2469999999999999,0.0841575902696839,PIMA,raw,1,96.80555555555556
PIMA__raw_flag,deep_ann,0.8113682739343115,0.0570688951494587,0.6711052804489352,0.0968847103779504,0.6693805790114334,0.0498833779448498,0.5559277750743495,0.8506638714185885,0.7042865631100925,0.1718981877523334,0.3669999999999999,0.1037786105129568,PIMA,raw,1,85.91666666666667
PIMA__raw_flag,deepnetx2,0.821921034241789,0.0270482929006732,0.6834434008694427,0.0524385435343162,0.6714611578085585,0.0381975126479992,0.6092140985949035,0.7679944095038435,0.7395467277820218,0.1818917415672973,0.4609999999999999,0.0569429539100317,PIMA,raw,1,86.61111111111111
PIMA__raw_flag,lr,0.8268259958071278,0.0213611383150739,0.7142219044556908,0.0400930011675717,0.648743999259674,0.0232769514904938,0.5989056419896391,0.7313766596785465,0.7225787284610814,0.1715412832146414,0.4639999999999998,0.0896799866190891,PIMA,raw,1,93.77777777777777
PIMA__raw_flag,rf,0.8232389937106918,0.0247367903099287,0.6775849311540256,0.0305764549845628,0.6815188971479152,0.033977331344761,0.6034728496141539,0.7947589098532495,0.7408199643493761,0.1643534021088574,0.3579999999999999,0.1084896308409241,PIMA,raw,1,90.36111111111111
PIMA__raw_flag,stack_lr_oof,0.8406373165618449,0.0174902376803943,0.70019957241042,0.0322533770600453,0.6901194163753402,0.0306892069129362,0.6078775903448542,0.802375960866527,0.7473049825991003,0.1571801622376895,0.3409999999999999,0.0350713558335003,PIMA,raw,1,93.69444444444444
PIMA__raw_flag,xgb,0.7961180992313067,0.0288947596909981,0.6463174623300142,0.041300561028225,0.6341211519252588,0.0425927699129778,0.556734884068993,0.761006289308176,0.6978609625668449,0.1978060223014985,0.2029999999999999,0.1592011306492513,PIMA,raw,1,91.02777777777777
PIMA__raw,ann,0.8245653389238294,0.0282308940639898,0.689541613268642,0.0537972236850598,0.6804140966362409,0.0340960839205623,0.5911509782207457,0.8283717679944095,0.725244037008743,0.1682304027297672,0.4049999999999999,0.0780224326716361,PIMA,raw,0,93.80555555555556
PIMA__raw,ann_xgb_ens,0.8136743535988818,0.0252181023401952,0.6665036566275389,0.0364848928578096,0.6398215171257746,0.0439950570880458,0.5813169739836467,0.7461215932914046,0.7135472370766488,0.1733405980946065,0.3409999999999999,0.177742791696316,PIMA,raw,0,99.47222222222223
PIMA__raw,deep_ann,0.8215303983228512,0.0237275592357222,0.672385710512998,0.0427977016454481,0.6764006492474632,0.0442980841480009,0.6302825780849974,0.7570230607966456,0.7473304473304474,0.1759067786042678,0.4559999999999998,0.0610737259384098,PIMA,raw,0,94.91666666666667
PIMA__raw,deepnetx2,0.823593291404612,0.0121629247296322,0.6894848782614731,0.0127065328045783,0.6776458352821281,0.0159436369288621,0.5942307692307692,0.8205450733752621,0.7253034547152194,0.1748093645464792,0.4019999999999999,0.1332103599574747,PIMA,raw,0,100.94444444444444
PIMA__raw,lr,0.8268259958071278,0.0213611383150739,0.7142219044556908,0.0400930011675717,0.648743999259674,0.0232769514904938,0.5989056419896391,0.7313766596785465,0.7225787284610814,0.1715412832146414,0.4639999999999998,0.0896799866190891,PIMA,raw,0,97.72222222222223
PIMA__raw,rf,0.8232389937106918,0.0247367903099287,0.6775849311540256,0.0305764549845628,0.6815188971479152,0.033977331344761,0.6034728496141539,0.7947589098532495,0.7408199643493761,0.1643534021088574,0.3579999999999999,0.1084896308409241,PIMA,raw,0,94.97222222222223
PIMA__raw,stack_lr_oof,0.8369587700908456,0.0211037055507328,0.6978454966434513,0.0303222708125127,0.6976748722781522,0.0242041176770237,0.627083407971339,0.7908455625436758,0.7603853662677192,0.1584757527238618,0.3719999999999999,0.0430987238790198,PIMA,raw,0,96.69444444444444
PIMA__raw,xgb,0.7961180992313067,0.0288947596909981,0.6463174623300142,0.041300561028225,0.6341211519252588,0.0425927699129778,0.556734884068993,0.761006289308176,0.6978609625668449,0.1978060223014985,0.2029999999999999,0.1592011306492513,PIMA,raw,0,95.63888888888889
PIMA__imp_median,ann,0.8314982529699512,0.0401590787557523,0.6973631603649613,0.0695279893286655,0.6772481661286215,0.0519894778558751,0.6158304440657382,0.7723969252271139,0.7368220015278839,0.1636136775737558,0.4159999999999999,0.0411400048614484,PIMA,median,0,97.86111111111111
PIMA__imp_median,ann_xgb_ens,0.8222907058001396,0.01887347952494,0.6852791705241517,0.0273920658055039,0.6600720182418247,0.0425000093388848,0.566439451201356,0.8175401816911251,0.7069688481453188,0.1698664540381449,0.2539999999999999,0.1274460670244476,PIMA,median,0,109.08333333333333
PIMA__imp_median,deep_ann,0.8288232005590496,0.0149005966520043,0.6963346274472098,0.0179972009718442,0.6802603189699964,0.0402473282924041,0.613866301723974,0.7719776380153739,0.7486715898480604,0.163773033474299,0.409,0.0856883889450606,PIMA,median,0,104.44444444444444
PIMA__imp_median,deepnetx2,0.8304109014675053,0.024575759341009,0.6977909368042278,0.0452023556224268,0.6806419349856977,0.0445542873420497,0.6327826531230787,0.7640810621942697,0.750021220609456,0.1682047235102177,0.4539999999999999,0.0514052526498995,PIMA,median,0,96.33333333333333
PIMA__imp_median,lr,0.8262334032145352,0.0212079548350211,0.7126924887333633,0.041534913534733,0.6470827647829441,0.0203086357483477,0.6054397542575333,0.7202655485674354,0.7251846193022663,0.1714007916939209,0.4739999999999999,0.0945647926027441,PIMA,median,0,102.61111111111111
PIMA__imp_median,rf,0.8222288609364081,0.0305922153115088,0.6722540574458488,0.0387541736635278,0.6766460807783642,0.0400524798894866,0.5752138143126515,0.8317260656883299,0.7226466344113402,0.1650437124051006,0.3219999999999999,0.1117251090847531,PIMA,median,0,97.61111111111111
PIMA__imp_median,stack_lr_oof,0.8364150943396226,0.0217702739820833,0.6944587675397697,0.0374853768255413,0.6899830866985107,0.0325814038479128,0.606423786911552,0.8023060796645701,0.747347423818012,0.1586665732718118,0.346,0.0248495472795783,PIMA,median,0,100.27777777777777
PIMA__imp_median,xgb,0.8044395527603074,0.0227657632214622,0.6594507376944115,0.0300090825154169,0.644873542890514,0.0401651506579538,0.5489685328106788,0.7988120195667365,0.6952550717256599,0.1936665336206077,0.1629999999999999,0.1130597187330659,PIMA,median,0,104.30555555555556
PIMA__imp_median_flag,ann,0.8220335429769392,0.0219173066953736,0.6943695084380216,0.0511290798343365,0.6382653234453485,0.0582715225742595,0.6015543545638744,0.7056603773584905,0.7238180120533062,0.1632258661611738,0.3789999999999999,0.1162110149684615,PIMA,median,1,99.72222222222223
PIMA__imp_median_flag,ann_xgb_ens,0.8228280922431865,0.0179840122818923,0.683292083366557,0.0285553193186761,0.6536613697937566,0.0387711442448123,0.5706952600999889,0.783508036338225,0.7135387488328664,0.1714862714415386,0.3069999999999999,0.1843095222716395,PIMA,median,1,103.63888888888889
PIMA__imp_median_flag,deep_ann,0.8295262054507336,0.0201791555037517,0.6945660742439868,0.046147980536098,0.6564914576167566,0.0447502119904898,0.5785898018307399,0.7791055206149545,0.7200577200577201,0.1709849475511512,0.4279999999999999,0.1561489673356823,PIMA,median,1,94.66666666666667
PIMA__imp_median_flag,deepnetx2,0.8303417190775682,0.0250701646696757,0.6976886896186649,0.0280135658255897,0.6622315159130215,0.0496480152115181,0.6422408925407426,0.7051712089447939,0.751268992445463,0.1727428031770525,0.4339999999999999,0.0654217089351845,PIMA,median,1,96.47222222222223
PIMA__imp_median_flag,lr,0.8262334032145352,0.0212079548350211,0.7126924887333633,0.041534913534733,0.6470827647829441,0.0203086357483477,0.6054397542575333,0.7202655485674354,0.7251846193022663,0.1714007916939209,0.4739999999999999,0.0945647926027441,PIMA,median,1,98.36111111111111
PIMA__imp_median_flag,rf,0.8222288609364081,0.0305922153115088,0.6722540574458488,0.0387541736635278,0.6766460807783642,0.0400524798894866,0.5752138143126515,0.8317260656883299,0.7226466344113402,0.1650437124051006,0.3219999999999999,0.1117251090847531,PIMA,median,1,93.66666666666667
PIMA__imp_median_flag,stack_lr_oof,0.8378819007686932,0.020166390100866,0.6937970513971644,0.0377663301459331,0.6885352631524572,0.0357572737172702,0.6019149299190738,0.8060796645702306,0.7447330447330447,0.1583970426178723,0.3409999999999999,0.0227486263321546,PIMA,median,1,97.22222222222223
PIMA__imp_median_flag,xgb,0.8044395527603074,0.0227657632214622,0.6594507376944115,0.0300090825154169,0.644873542890514,0.0401651506579538,0.5489685328106788,0.7988120195667365,0.6952550717256599,0.1936665336206077,0.1629999999999999,0.1130597187330659,PIMA,median,1,99.83333333333333
