scenario,imputer,model,n_features,best_thresh,auroc,auprc,accuracy,precision,recall,f1,bss
pair_NHANES_to_TYPE2,median,ann,7,0.18,0.6209417604294425,0.4700610170834896,0.6065,0.4420697412823397,0.5745614035087719,0.4996821360457724,-0.1065143885243025
pair_NHANES_to_TYPE2,median,deep_ann,7,0.26499999999999996,0.5235651184699337,0.39201680065068,0.6355,0.4470588235294118,0.2777777777777778,0.34265103697024346,-0.2628800717476727
pair_NHANES_to_TYPE2,median,deepnetx2,7,0.18,0.5925785207700102,0.42857218420371757,0.4975,0.37411764705882355,0.6973684210526315,0.4869831546707504,-0.20499335676214825
pair_NHANES_to_TYPE2,median,ann_xgb_ens,7,0.195,0.5991930180060079,0.42459415024083524,0.656,0.4583333333333333,0.03216374269005848,0.060109289617486336,-0.4509121966898053
pair_NHANES_to_TYPE2,median,stack_lr_oof,7,0.32999999999999996,0.6078771840949893,0.43372489757564503,0.659,1.0,0.0029239766081871343,0.0058309037900874635,-0.4428881728059859
pair_PIMA_to_NHANES,median,rf,7,0.30999999999999994,0.5861528652865287,0.12946390765685278,0.7638833399920096,0.041401273885350316,0.0429042904290429,0.04213938411669368,-0.09917323338167128
pair_PIMA_to_NHANES,median,lr,7,0.3499999999999999,0.6159435943594358,0.13857346458819975,0.6208549740311626,0.14660831509846828,0.44224422442244227,0.22021364009860311,-1.1528471869398147
pair_PIMA_to_NHANES,median,xgb,7,0.19999999999999996,0.5440001500150015,0.12515434010971124,0.6148621654015182,0.12906846240179573,0.3795379537953795,0.19262981574539365,-0.7443065320324185
pair_PIMA_to_NHANES,median,ann,7,0.22999999999999998,0.5909105910591058,0.13374343842568323,0.6384338793447862,0.14918414918414918,0.42244224422442245,0.22049956933677864,-0.41407930359923406
pair_PIMA_to_NHANES,median,deep_ann,7,0.18,0.48522277227722765,0.11205367207587749,0.5992808629644427,0.1187363834422658,0.35973597359735976,0.17854217854217855,-0.40252334025690684
pair_PIMA_to_NHANES,median,deepnetx2,7,0.32999999999999996,0.4893009300930093,0.1129778125591134,0.8094286855773072,0.042105263157894736,0.026402640264026403,0.032454361054766734,-0.3157085922391052
pair_PIMA_to_NHANES,median,ann_xgb_ens,7,0.18,0.5254335433543355,0.12010922138569444,0.5992808629644427,0.13389121338912133,0.42244224422442245,0.20333598093725178,-0.5337455938471349
pair_PIMA_to_NHANES,median,stack_lr_oof,7,0.35999999999999993,0.585061506150615,0.1286363541638274,0.7435077906512185,0.03305785123966942,0.039603960396039604,0.036036036036036036,-0.2094193228617296
pair_PIMA_to_TYPE2,median,rf,7,0.30999999999999994,0.9898210730727528,0.9781808432794732,0.949,0.8818897637795275,0.9824561403508771,0.9294605809128631,0.80144600937924
pair_PIMA_to_TYPE2,median,lr,7,0.3499999999999999,0.833374437867719,0.6874892327357117,0.7175,0.5551436515291936,0.8757309941520468,0.6795235394214407,0.24972321284541787
pair_PIMA_to_TYPE2,median,xgb,7,0.19999999999999996,0.9758705273822855,0.9262021339925823,0.8905,0.7657142857142857,0.97953216374269,0.8595253367543297,0.8039743935265675
pair_PIMA_to_TYPE2,median,ann,7,0.21999999999999997,0.8711183988339644,0.7432784079861595,0.674,0.5125195618153364,0.9576023391812866,0.6676860346585117,0.33671531961152723
pair_PIMA_to_TYPE2,median,deep_ann,7,0.26499999999999996,0.9071004194884373,0.8191866865410216,0.8015,0.6541353383458647,0.8903508771929824,0.7541795665634675,0.3913432891469001
pair_PIMA_to_TYPE2,median,deepnetx2,7,0.3,0.8852205869283138,0.7806802860449835,0.8025,0.6710059171597633,0.8289473684210527,0.7416612164813604,0.35697265274047396
pair_PIMA_to_TYPE2,median,ann_xgb_ens,7,0.24999999999999994,0.9750051102934643,0.921502588623127,0.894,0.771889400921659,0.97953216374269,0.8634020618556701,0.7278014688764796
pair_PIMA_to_TYPE2,median,stack_lr_oof,7,0.3549999999999999,0.9912625091096535,0.9793272229221772,0.927,0.8256658595641646,0.9970760233918129,0.9033112582781457,0.693225361457442
pair_TYPE2_to_NHANES,median,rf,7,0.49499999999999994,0.5865226522652265,0.12903679893404413,0.8697562924490612,0.0,0.0,0.0,-0.1457023466471643
pair_TYPE2_to_NHANES,median,lr,7,0.33499999999999996,0.6093159315931593,0.13621291511568673,0.5916899720335598,0.15465898174831894,0.5313531353135313,0.23958333333333334,-1.2086347655917282
pair_TYPE2_to_NHANES,median,xgb,7,0.605,0.5584068406840684,0.12518092590683,0.8026368357970436,0.0639269406392694,0.0462046204620462,0.05363984674329502,-0.6076603869718367
pair_TYPE2_to_NHANES,median,ann,7,0.30499999999999994,0.4714626462646264,0.10581787781628336,0.7882540950858969,0.04048582995951417,0.033003300330033,0.03636363636363636,-0.5042186559055644
pair_TYPE2_to_NHANES,median,deep_ann,7,0.29,0.46376087608760874,0.10855525112080094,0.8086296444266879,0.05102040816326531,0.033003300330033,0.04008016032064128,-0.39422383930688953
pair_TYPE2_to_NHANES,median,deepnetx2,7,0.24999999999999994,0.48204020402040204,0.10903961564868139,0.7934478625649221,0.02654867256637168,0.019801980198019802,0.022684310018903593,-0.4364634056899108
pair_TYPE2_to_NHANES,median,ann_xgb_ens,7,0.585,0.5100930093009302,0.11612219061854569,0.8314023172193368,0.031496062992125984,0.013201320132013201,0.018604651162790697,-0.43486876663738183
pair_TYPE2_to_NHANES,median,stack_lr_oof,7,0.615,0.5985853585358536,0.13182494158810473,0.8761486216540152,0.0,0.0,0.0,-0.1796067756290658
pair_TYPE2_to_PIMA,median,rf,7,0.49499999999999994,0.9994029850746268,0.9989531152638467,0.9895833333333334,0.9924242424242424,0.9776119402985075,0.9849624060150376,0.9415411900497512
pair_TYPE2_to_PIMA,median,lr,7,0.33499999999999996,0.8372014925373135,0.7253846828934918,0.70703125,0.5487528344671202,0.9029850746268657,0.6826516220028209,0.2726961243745605
pair_TYPE2_to_PIMA,median,xgb,7,0.605,0.9962611940298508,0.9959685011936786,0.9908854166666666,0.9887640449438202,0.9850746268656716,0.9869158878504672,0.9149766626702655
pair_TYPE2_to_PIMA,median,ann,7,0.24,0.9108432835820895,0.8375094511181264,0.8203125,0.688953488372093,0.8843283582089553,0.7745098039215687,0.48170110097822294
pair_TYPE2_to_PIMA,median,deep_ann,7,0.285,0.9426567164179105,0.9073758939754533,0.8645833333333334,0.7697368421052632,0.8731343283582089,0.8181818181818182,0.5974684572825577
pair_TYPE2_to_PIMA,median,deepnetx2,7,0.29,0.9248059701492537,0.8719386030644218,0.84375,0.7283950617283951,0.8805970149253731,0.7972972972972973,0.5451426411660031
pair_TYPE2_to_PIMA,median,ann_xgb_ens,7,0.61,0.9917164179104478,0.9874776751391126,0.9440104166666666,0.9787234042553191,0.8582089552238806,0.9145129224652088,0.8232547007827338
pair_TYPE2_to_PIMA,median,stack_lr_oof,7,0.6849999999999999,0.9992388059701492,0.9987219576039985,0.9869791666666666,0.9961538461538462,0.9664179104477612,0.9810606060606061,0.958604646826181
lodo_PIMA_TYPE2_to_NHANES,median,rf,7,0.49499999999999994,0.5563418841884188,0.12119133691878502,0.8669596484218938,0.03125,0.0033003300330033004,0.005970149253731343,-0.17201441759175884
lodo_PIMA_TYPE2_to_NHANES,median,lr,7,0.3999999999999999,0.6098094809480948,0.13629889366896103,0.6276468238114263,0.13892078071182548,0.39933993399339934,0.2061328790459966,-1.2281011258611212
lodo_PIMA_TYPE2_to_NHANES,median,xgb,7,0.41999999999999993,0.5625097509750975,0.1268088253369169,0.7131442269276868,0.10325047801147227,0.1782178217821782,0.13075060532687652,-0.7976915059936129
lodo_PIMA_TYPE2_to_NHANES,median,ann,7,0.295,0.49729672967296734,0.11380665774162481,0.832201358369956,0.024390243902439025,0.009900990099009901,0.014084507042253521,-0.3527922686505851
